"filename", "language", "GDScript", "comment", "blank", "total"
"d:\GODOT 3.6\projetos\dragon_mania\scripts\camera\CameraController.gd", "GDScript", 238, 39, 63, 340
"d:\GODOT 3.6\projetos\dragon_mania\scripts\dragon\DragonPersonality.gd", "GDScript", 33, 6, 7, 46
"d:\GODOT 3.6\projetos\dragon_mania\scripts\dragon\DragonStats.gd", "GDScript", 7, 2, 6, 15
"Total", "-", 278, 47, 76, 401
