"filename", "language", "GDScript", "comment", "blank", "total"
"d:\GODOT 3.6\projetos\Aethernest\scripts\managers\DecorationManager.gd", "GDScript", 123, 14, 58, 195
"d:\GODOT 3.6\projetos\Aethernest\scripts\ui\DecorationUI.gd", "GDScript", 99, 9, 32, 140
"Total", "-", 222, 23, 90, 335
